All,הכל
"There was an error capturing the transaction: %1.","אירעה שגיאה בעת ביצוע הסליקה: %1."
"This refund is for a partial amount but the Transaction has not settled.","החזר זה הוא עבור סכום חלקי אך הסליקה איננה אושרה."
"Please wait 24 hours before trying to issue a partial refund.","אנא המתן 24 שעות לפני בקשת החזר כספי."
"There was an error refunding the transaction: %1.","אירעה שגיאה החזר הכספי כתוצאה מהסליקה: %1."
"Some transactions are already settled or voided and cannot be voided.","חלק מהסליקות כבר אושרו או ריקות, ולכן אין אפשרות לבטלם."
"Voided capture.","סליקות ללא תוקף."
"There was an error voiding the transaction: %1.","אירעה שגיאה בסליקה הריקה: %1."
Invoice,חשבונית
Shipment,משלוח
"Invalid Customer ID provided","מזהה לקוח לא חוקי הוכנס"
"some error",תקלה
"a,b,c","א, ב, ג"
"Something went wrong while processing.","משהו השתבש בזמן העיבוד."
error,שגיאה
exception,חריגה
"Payment Information","פרטי תשלום"
"Add new card","הוסף כרטיס חדש"
"Save this card for future use","שמור את פרטי הכרטיס הנוכחי לשימוש בקניות הבאות"
or,או
"Please confirm that you want to delete this credit card","בבקשה אשר כי ברצונך למחוק את כרטיס האשראי הזה"
"Cardholder Name","שם בעל הכרטיס"
"* Required Fields","* שדות חובה"
"Card Verification Number Visual Reference","מדריך כיצד לאמת את מספר הכרטיס"
"Make Default","הפוך לברירת המחדל"
"Billing Address","כתובת חיוב"
Company,חברה
Address,כתובת
State/Province,מדינה/מחוז
"Please select region, state or province","נא בחר מדינה, אזור או מחוז"
"Zip/Postal Code",מיקוד
"Add Credit Card","הוסף כרטיס אשראי"
"Card Number","מספר כרטיס"
"Is Default","ברירת מחדל"
"Capture action","לכידת פעולה"
"Use Vault","השתמש בכספת"
"Allow Duplicate Cards","אפשר כרטיסים משוכפלים"
"Enable Credit Card auto-detection on Storefront","לאפשר איתור אוטומטי של כרטיס אשראי על החנות"
"Your Kount ID","מזהה הKnout שלך"
"Use Cache","השתמש בcache"
"Edit My Credit Cards","ערוך את כרטיסי האשראי שלי"
"Be sure to Enable Advanced Fraud Protection in Your Braintree Account in Settings/Processing Section","בדוק כי אפשרת הגנה נגד הונאה בחשבון שלך במקטע הגדרות/עיבוד"
"Used for direct fraud tool integration. Make sure you also contact <a href=""mailto:accounts@braintreepayments.com"">accounts@braintreepayments.com</a> to setup your Kount account.","משמש עבור התקשרות עם תוכנת הונאה. אתה מוזמן גם ליצור קשר עם <a href=""mailto:accounts@braintreepayments.com""> accounts@braintreepayments.com</a> כדי להגדיר את החשבון Kount שלך."
"Paypal account","חשבון PayPal"
"Coinbase account","חשבון Coinbase"
"Europe bank account","חשבון בנק אירופאי"
"Credit card","כרטיס אשראי"
"Apple pay card","כרטיס Apple pay"
"Android pay card","כרטיס Android Pay"
"Authorization expired","אישור פג תוקף"
Authorizing,מאשר
Authorized,מאושר
"Gateway rejected","שער נדחה"
Failed,נכשל
"Processor declined","עיבוד נכשל"
Settled,הוסדר
Settling,הוסדר
"Submitted for settlement","נאספו לייחוס"
Voided,בוטל
Unrecognized,"לא מזוהה"
"Settlement declined","ההסדרים נדחו"
"Settlement pending","ההסדרים בהמתנה"
"Settlement confirmed","ההסדר אישר"
Sale,מכירה
Credit,אשראי
"Vault enabled","הכספת מופעלת"
"Percent Discount","אחוז הנחה"
"-- Select --","-- בחר --"
Dynamic,דינמי
Fixed,קבוע
"Create New Option","צור אפשרות חדשה"
"Bundle Items","מוצרי באנדל"
"Add Products to Option","הוספת המוצרים לאפשרות"
"Delete Option","מחר אפשרות"
"What are you looking for?","מה אתה מחפש?"
"Use Default Value","השתמש בערך ברירת המחדל"
"There is no defined renderer for ""%1"" option type.","אין אפשרות לעבד הגדרות עבור סוג האפשרות ""%1""."
"Could not save child: ""%1""","לא היתה אפשרות לשמור את הילד: ""%1"""
"Product with specified sku: ""%1"" does not contain option: ""%2""","מוצר עם מק שצוינו: ""%1"" אינו מכיל אפשרות: ""%2"""
"Child with specified sku: ""%1"" already assigned to product: ""%2""","הילד עם מק שצוינו: ""%1"" כבר מוקצה המוצר: ""%2"""
"Price Range","טווח מחירים"
"As Low as","המחיר הכי נמוך"
Together,ביחד
Separately,בנפרד
"Please specify product option(s).","אנא ציין את אפשרות או אפשרויות המוצר."
"The options you selected are not available.","האפשרויות שבחרת אינן זמינות."
"The required options you selected are not available.","האפשרויות הדרושות שבחרת אינן זמינות."
"Please select all required options.","אנא בחר את כל האפשרויות הנדרשות."
"We can't add this item to your shopping cart right now."," לא ניתן להוסיף פריט זה לסל הקניות שלך כרגע."
N/A,"לא זמין"
Percent,אחוז
"We can't save custom-defined options for bundles with dynamic pricing.","לא ניתן לשמור אפשרויות מותאמות אישית עבור צרורות עם מחיר דינאמי."
"Add Selected Products","הוספת המוצרים שנבחרו"
"Add Option","הוסף אפשרות"
"New Option","אפשרות חדשה"
"Option Title","כותרת האפשרות"
"Default Title","כותרת ברירת המחדל"
"Store View Title","כותרת תצוגת החנות"
"Input Type","סוג הקלט"
Drop-down,"פקד דרופ-דאון"
"Radio Buttons","כפתורי רדיו"
Checkbox,"תיבת סימון"
"Multiple Select","בחירה מרובה"
Required,נדרש
"Default Quantity","כמות ברירת המחדל"
"User Defined","הגדרת משתמש"
"Price Type","סוג מחיר"
Quantity:,כמות:
"Choose a selection...","לבחור בחירה..."
"Ship Bundle Items","שלח צרור מוצרים"
"There are no products in this option.","אין מוצרים באפשרות זו."
Default,"ברירת מחדל"
Ordered,הוזמן
Invoiced,חויב
Shipped,נשלח
Refunded,זוכה
Canceled,בוטל
"Regular Price","מחיר רגיל"
"As low as","המחיר הנמוך ביותר"
"Buy %1 with %2 discount each","לקנות %1 עם %2 הנחת"
"Go back to product details","חזור לפרטי המוצר"
"Customize and Add to Cart","התאם אישית והוסף לעגלה"
"Your Customization","ההתאמה האישית שלך"
Availability,זמינות
"In stock",במלאי
"Out of stock","אזל מהמלאי"
Availability:,זמינות:
"Customize %1","התאמה אישית של %1"
"No options of this product are available.","אין אפשרויות זמינות למוצר זה."
"Gift Message","הודעת מתנה"
From:,מ:
To:,ל:
Message:,הודעה:
"Product Name","שם מוצר"
"Discount Amount","סכום הנחה"
"Row Total","סה״כ השורה"
"Qty Invoiced","כמות שחויבה"
"Qty Shipped","כמות שנשלחה"
"Add Products to New Option","הוסף מוצרים לאפשרות חדשה"
"Add Products to Option ""%1""","הוסף מוצרים לאפשרות ""%1"""
Always,תמיד
"After number of attempts to login","לאחר מספר ניסיונות כניסה"
"Provided form does not exist","הטופס שסופק אינו קיים"
"Incorrect CAPTCHA","CAPTCHA שגוי"
"Incorrect CAPTCHA.","CAPTCHA שגוי."
"The account is locked. Please wait and try again or contact %1.","החשבון ננעל. בבקשה חכה, נסה שוב או פנה %1."
"Please enter the letters and numbers from the image","אנא הזן את האותיות והמספרים מהתמונה"
"<strong>Attention</strong>: Captcha is case sensitive.","<strong>לתשומת לבך</strong>: Captcha תלוי רישיות."
"Reload captcha","טען CAPTCHA מחדש"
"Please type the letters and numbers below","אנא הקלידו את האותיות והמספרים להלן"
"Attention: Captcha is case sensitive.","לתשומת לבך: Captcha תלוי רישיות."
"Enable CAPTCHA in Admin","לאפשר CAPTCHA בממשק הניהול"
Font,גופן
Forms,טפסים
"Displaying Mode","מצב תצוגה"
"Number of Unsuccessful Attempts to Login","מספר ניסיונות התחברות כושלים"
"If 0 is specified, CAPTCHA on the Login form will be always available.","אם צוין 0, CAPTCHA על גבי טופס כניסה יהיה תמיד זמין."
"CAPTCHA Timeout (minutes)","זמן קצוב CAPTCHA (בדקות)"
"Number of Symbols","מספר סמלים"
"Please specify 8 symbols at the most. Range allowed (e.g. 3-5)","נא ציין 8 סמלים לכל היותר. מותר טווחים (למשל 3-5)"
"Symbols Used in CAPTCHA","סמלים המשמשים ב-CAPTCHA"
"Please use only letters (a-z or A-Z) or numbers (0-9) in this field. No spaces or other characters are allowed.<br />Similar looking characters (e.g. ""i"", ""l"", ""1"") decrease chance of correct recognition by customer.","נא להשתמש רק באותיות (a-z או A-Z) או מספרים (0-9) בשדה זה. ללא רווחים או תווים אחרים.<br />שימוש בתווים דומים (למשל ""i"", ""l"", ""1"") מקטין את הסיכוי של זיהוי הנכון על-ידי הלקוח."
"Case Sensitive","תלוי רישיות"
"Enable CAPTCHA on Storefront","לאפשר CAPTCHA בתצוגת החנות"
"CAPTCHA for ""Create user"" and ""Forgot password"" forms is always enabled if chosen.","CAPTCHA עבור טפסי ""צור חשבון"" ו-""שכחתי סיסמה"" תמיד פעילה אם נבחרה."
Root,שורש
"Are you sure you want to delete this category?","האם אתה בטוח שברצונך למחוק את הקטגוריה?"
"Use Config Settings","השתמש בהגדרות הראשיות"
"Use All Available Attributes","השתמש בכל התכונות הקיימות"
"Add Subcategory","הוסף קטגוריה משנית"
"Add Root Category","הוסף קטגוריה ראשית"
Day,יום
from,מ-
to,אל
[GLOBAL],[גלובלי]
[WEBSITE],[אתר]
"[STORE VIEW]","[תצוגת חנות]"
"WYSIWYG Editor","עורך WYSIWYG"
"Add Product","הוסף מוצר"
label,תווית
"Product Attributes","תכונות מוצר"
"Add New Attribute","הוסף תכונה חדשה"
"Save Attribute","שמור תכונה"
"Save in New Attribute Set","שמור בקבוצת תכונות"
"Enter Name for New Attribute Set","הזן שם עבור קבוצת תכונות חדשה"
"Delete Attribute","מחק תכונה"
"Edit Product Attribute ""%1""","עריכת תכונת מוצר ""%1"""
"New Product Attribute","תכונת מוצר חדשה"
"Advanced Attribute Properties","מאפייני תכונה מתקדמים"
"Attribute Code","קוד תכונה"
"This is used internally. Make sure you don't use spaces or more than %1 symbols.","זהו מידע לשימוש פנימי. ודאו שאינכם משתמשים ברווחים או ביותר מ-%1 תווים."
"Default Value","ערך ברירת מחדל"
"Unique Value","ערך ייחודי"
"Unique Value (not shared with other products)","ערך ייחודי (לא ישותף עם מוצרים אחרים)"
"Not shared with other products.","אינו משותף עם מוצרים אחרים."
"Input Validation for Store Owner","אימות קלט עבור בעל חנות"
"Add to Column Options","הוסף לאפשרויות עמודות"
"Select ""Yes"" to add this attribute to the list of column options in the product grid.","בחר 'כן' כדי להוסיף תכונה זו לרשימה של אפשרויות עמודות בגריד המוצרים."
"Use in Filter Options","השתמש באפשרויות סינון"
"Select ""Yes"" to add this attribute to the list of filter options in the product grid.","בחר 'כן' כדי להוסיף תכונה זו לרשימה של אפשרויות סינון בגריד המוצרים."
Website,אתר
Global,גלובלי
Scope,טווח
"Declare attribute value saving scope.","הגדר ערכי תכונה טווח השמירה."
"Storefront Properties","מאפייני תצוגת חנות"
"Use in Search","השתמש בחיפוש"
"Visible in Advanced Search","גלוי בחיפוש מתקדם"
"Comparable on Storefront","ניתן להשוואה בחנות קדמית"
"Use for Promo Rule Conditions","השתמש עבור כללי קידום ומבצעים"
"Allow HTML Tags on Storefront","אפשר תגי HTML בחנות קדמית"
"Visible on Catalog Pages on Storefront","גלוי בדפי הקטלוג בתצוגת החנות"
"Used in Product Listing","בשימור ברשימת מוצרים"
"Depends on design theme.","תלוי בתבנית העיצוב."
"Used for Sorting in Product Listing","השתמש לסידור המוצרים בחנות הקדמית"
"Media Image","תמונת מדיה"
Gallery,גלריה
"System Properties","מאפייני מערכת"
"Data Type for Saving in Database","סוג מידע עבור שמירה במסד נתונים"
Text,טקסט
Varchar,תווי
Static,סטטי
Datetime,"תאריך ושעה"
Decimal,עשרוני
Integer,"מספר שלם"
"Globally Editable","ניתן לעריכה גלובאלית"
"Attribute Information","מידע אודות תכונה"
Properties,מאפיינים
"Manage Labels","נהל תוויות"
Visible,מוצג
Searchable,"ניתן לחיפוש"
Comparable,"ניתן להשוואה"
"Delete Selected Group","מחיקת הקבוצה שנבחרה"
"You are about to delete all products in this attribute set. Are you sure you want to do that?","אתה עומד למחוק את כל המוצרים בקבוצת תכונות זו. אתה בטוח שאתה רוצה לעשות את זה?"
"New Set Name","שם קבוצה חדשה"
"Edit Attribute Set '%1'","עריכת קבוצת התכונות '%1'"
Empty,ריק
"Add Attribute","הוסף תכונה"
"Add New Group","הוסף קבוצה חדשה"
"Add Group","הוסף קבוצה"
"For internal use","לשימוש פנימי"
"Based On","בהתבסס על"
"Edit Attribute Set Name","עריכת שם קבוצת התכונות"
"Add New Attribute Set","הוסף קבוצת תכונות חדשה"
"Add Attribute Set","הוסף קבוצת תכונות"
"Attribute Sets","קבוצות תכונות"
"Close Window","סגירת חלון"
"New Product","מוצר חדש"
"Save & Edit","שמירה ועריכה"
"Save & New","שמירה וחדש"
"Save & Duplicate","שמור ושכפל"
"Save & Close","שמור וסגור"
Change,שינוי
"Advanced Inventory","מלאי מתקדם"
Websites,אתרים
"Products Information","מידע על מוצרים"
"Create Category","צור קטגוריה"
"Category Name","שם קטגוריה"
"Parent Category","קטגורית אב"
"If there are no custom parent categories, please use the default parent category. You can reassign the category at any time in <a href=""%1"" target=""_blank"">Products > Categories</a>.","אם אין קטגוריות מותאמות אישית בקטוגריות האב, אנא השתמש בקטגוריה האב כברירת המחדל. ' 'באפשרותך להקצות מחדש את הקטגוריה בכל עת ב-' ' <a href=""%1"" target=""_blank""> מוצרים > קטגוריות</a>."
"Price Alert Subscriptions","מנויים להתראות מחיר"
"Stock Alert Subscriptions","מנויים להתראות מלאי"
"There are no customers for this alert.","אין לקוחות עבור התראה זו."
"Subscribe Date","תאריך הצטרפות כמנוי"
"Last Notified","הודעה אחרונה"
"Send Count","מונה שליחות"
"New Attribute","תכונה חדשה"
"Attribute Set","קבוצת תכונות"
"Add New Option","הוסף אפשרות חדשה"
"Import Options","ייבוא אפשרויות"
Import,ייבא
"Add New Row","הוסף שורה חדשה"
"Delete Row","מחיקת שורה"
"Tier Pricing","מחיר כמויות"
"Default Price","מחיר בררת מחדל"
"ALL GROUPS","כל הקבוצות"
"Add Price","הוסף מחיר"
"Default Values","ערכי בררת מחדל"
"Related Products","מוצרים נלווים"
Up-sells,"קידומי מכירות"
Cross-sells,"מוצרים משלימים"
"Size for %1","גודל עבור %1"
"Watermark File for %1","קובץ סימן מים עבור %1"
"Position of Watermark for %1","המיקום של סימן המים עבור %1"
"Name in %1","שם ב-%1"
"Change Status","שנה מצב"
"Update Attributes","עדכן תכונות"
"start typing to search category","התחל להקליד כדי לחפש קטגוריה"
"New Category","קטגוריה חדשה"
"Add New Images","הוסף תמונות חדשות"
"Inc. Tax","כולל מס"
"Does this have a weight?","האם יש לזה משקל?"
"Notify Low Stock RSS","הודעה RSS עבור מלאי מועט"
"Low Stock Products","מוצרים במלאי מועט"
"%1 has reached a quantity of %2.","%1 הגיע לכמות של %2."
"Go to Home Page","מעבר לעמוד הבית"
"Subscribe to RSS Feed","הצטרף כמנוי להזנות RSS"
"Products Comparison List","רשימת מוצרים להשוואה"
"New Products from %1","מוצרים חדשים מ-%1"
"New Products","מוצרים חדשים"
"%1 - Special Products","%1 - מוצרים מיוחדים"
"Click for price","לחץ לקבלת מחיר"
"Special Expires On: %1","מיוחד יפוג ב: %1"
"Price: %1","מחיר: %1"
"Special Price: %1","מחיר מיוחד: %1"
"Special Products","מוצרים מיוחדים"
"Manage Catalog Categories","ניהול קטגוריות קטלוג"
"Manage Categories","ניהול קטגוריות"
"You deleted the category.","מחקת את הקטגוריה."
"Something went wrong while trying to delete the category.","משהו השתבש בעת הניסיון למחוק את הקטגוריה."
Categories,קטגוריות
"Category is not available for requested store.","קטגוריה זו אינה זמינה עבור החנות המבוקשת."
"There was a category move error.","אירעה שגיאת העברה קטגוריה."
"You moved the category.","העברת את הקטגוריה."
"Something went wrong while saving the category.","משהו השתבש בעת שמירת הקטגוריה."
"You saved the category.","שמרת את הקטגוריה."
"Please select products for attributes update.","נא בחר מוצרים עבור עדכון תכונות."
"Please make sure to define SKU values for all processed products.","נא ודא כי הגדרת ערכי מק""ט עבור כל המוצרים המעובדים."
"Something went wrong while updating the product(s) attributes.","משהו השתבש בעת עדכון תכונות המוצר(ים)."
"Something went wrong while processing the request.","משהו השתבש בעת עיבוד הבקשה."
"Unable to add attribute","לא ניתן להוסיף תכונה"
"Manage Product Attributes","נהל תכונות מוצר"
"We can't delete the attribute.","איננו יכולים למחוק את התכונה."
"You deleted the product attribute.","מחקת את תכונת המוצר."
"We can't find an attribute to delete.","איננו יכולים למצוא תכונה למחיקה."
"This attribute no longer exists.","התכונה כבר לא קיימת."
"This attribute cannot be edited.","אין אפשרות לערוך תכונה זו."
"Edit Product Attribute","ערוך תכונת מוצר"
"An attribute set named '%1' already exists.","ערך התכונה בשם '%1' כבר קיימת."
"Something went wrong while saving the attribute.","משהו השתבש בעת שמירת התכונה."
"We can't update the attribute.","איננו יכולים לעדכן את התכונה."
"You saved the product attribute.","שמרת את תכונת המוצר."
"An attribute with this code already exists.","תכונה עם הקוד הזה כבר קיימת."
"An attribute with the same code (%1) already exists.","תכונה עם אותו קוד (%1) כבר קיימת."
"You duplicated the product.","שכפלת את המוצר."
"This product doesn't exist.","מוצר זה אינו קיים."
"Invalid product id. Should be numeric value greater than 0","מזהה מוצר לא חוקי. צריך להיות ערך מספרי גדול מ-0"
"A group with the same name already exists.","קבוצה עם שם זהה כבר קיימת."
"Something went wrong while saving this group.","משהו השתבש בעת שמירת קבוצה זו."
"A total of %1 record(s) have been deleted.","סך של %1 רשומות נמחקו."
"A total of %1 record(s) have been updated.","סך של %1 רשומות נערכו."
"Something went wrong while updating the product(s) status.","משהו השתבש בעת עדכון מצב המוצר(ים)."
"You saved the product.","שמרת את המוצר."
"SKU for product %1 has been changed to %2.","מק""ט עבור מוצר %1 שונה ל-%2."
"The image cannot be removed as it has been assigned to the other image role","לא ניתן להסיר את התמונה מכיוון שהיא הוקצתה לתפקידי תמונות אחרים"
"New Attribute Set","קבוצת תכונות חדשה"
"The attribute set has been removed.","קבוצת התכונות הוסרה."
"We can't delete this set right now.","איננו יכולים למחוק קבוצה זו ברגע זה."
"New Set","קבוצה חדשה"
"Manage Product Sets","ניהול קבוצות מוצרים"
"Manage Attribute Sets","ניהול קבוצות תכונות"
"This attribute set no longer exists.","קבוצת התכונות כבר לא קיימת."
"You saved the attribute set.","שמרת את קבוצת התכונות."
"Something went wrong while saving the attribute set.","משהו השתבש בעת שמירת קבוצת התכונות."
"You cleared the comparison list.","ניקית את רשימת ההשוואה."
"Something went wrong  clearing the comparison list.","משהו השתבש  בעת ניקוי רשימת ההשוואה."
"You removed product %1 from the comparison list.","הסרת מוצר %1 מרשימת ההשוואה."
"1 item","פריט אחד"
"%1 items","%1 פריטים"
"Are you sure you want to remove this item from your Compare Products list?","האם אתה בטוח שברצונך להסיר פריט זה מהשוואת המוצרים?"
"Are you sure you want to remove all items from your Compare Products list?","האם אתה בטוח שברצונך להסיר את כל הפריטים מהשוואת המוצרים?"
"Invalid attribute %1","תכונה לא חוקית %1"
Grid,"גריד תצוגה"
List,רשימה
"Bad controller interface for showing product","ממשק בקר שגוי עבור מוצר מוצג"
"Product is not loaded","מוצר לא נטען"
"Make sure the To Date is later than or the same as the From Date.","ודא כי 'עד תאריך' מאוחר יותר או זהה ל-'מתאריך'."
"Sorry, but we can't find the new parent category you selected.","מצטער, אבל אנחנו לא מוצאים את קטגוריית האב החדשה שבחרת."
"Sorry, but we can't find the new category you selected.","מצטערים, אבל אנחנו לא מוצאים את הקטגוריה החדשה שבחרת."
"We can't move the category because the parent category name matches the child category name.","אנחנו לא יכולים להזיז את הקטגוריה כי שם קטגוריית האב תואם לשם הקטגוריה של הילד."
"Something went wrong while getting the image url.","משהו השתבש בעת קבלת כתובת התמונה."
"Can't delete root category.","אין אפשרות למחוק את קטגוריית האב."
"Default Product Listing Sort by does not exist in Available Product Listing Sort By.","מיון מוצרים לפי ברירת מחדל לא קיים במיון רשימת מוצרים זמינים."
"No layout updates","אין עדכוני סידור"
"Products only","מוצרים בלבד"
"Static block only","בלוק סטטי בלבד"
"Static block and products","בלוק סטטי ומוצרים"
"Please select a static block.","אנא בחר בלוק סטטי."
"Could not save product ""%1"" with position %2 to category %3","לא היתה אפשרות לשמור מוצר ""%1"" עם המיקום %2 בקטגוריה %3"
"Could not save product ""%product"" with position %position to category %category","לא היתה אפשרות לשמור מוצר ""%product"" עם המיקום %position בקטגוריה %category"
"Operation do not allow to move a parent category to any of children category","אין אפשרות להעביר קטגורית אב לקטגורית בן"
"Could not move category","לא ניתן להעביר קטגוריה"
"Could not save category: %1","לא הייתה אפשרות לשמור את הקטגוריה: %1"
"Cannot delete category with id %1","אין אפשרות למחוק את הקטגוריה עם המזהה %1"
"-- Please Select a Category --","--אנא בחר קטגוריה --"
"Grid Only","גריד בלבד"
"List Only","רשימה בלבד"
"Grid (default) / List","גריד (בררת מחדל) / רשימה"
"List (default) / Grid","רשימה (בררת מחדל) / גריד"
"Automatic (equalize price ranges)","אוטומטי (השוואת טווחי מחיר)"
"Automatic (equalize product counts)","אוטומטי (השוואת כמויות מוצר)"
Manual,"באופן ידני"
"-- Please select --","-- אנא בחר --"
"Product Thumbnail Itself","התמונה הממוזערת של המוצר עצמו"
"Parent Product Thumbnail","התמונה הממוזערת של מוצר האב"
"12h AM/PM","12 שעות AM/PM"
24h,"24 שעות"
Stretch,מתיחה
Tile,אריח
Top/Left,"למעלה / שמאלה"
Top/Right,"למעלה / ימינה"
Bottom/Left,"למטה / שמאלה"
Bottom/Right,"למטה / ימינה"
Center,מרכז
"%1 doesn't extends \Magento\Framework\Model\AbstractModel","%1 לא קיים \Magento\Framework\Model\AbstractModel"
"Something went wrong while saving the file(s).","משהו השתבש בעת שמירת הקבצים."
"File can not be saved to the destination folder.","לא ניתן לשמור את הקובץ לתיקיית היעד."
"Unknown EAV indexer type ""%1"".","סוג מאנדקס EAV לא ידוע ""%1""."
"We can't rebuild the index for an undefined product.","אנחנו לא יכולים לאנדקס מחדש מוצר לא מוגדר."
"Bad value was supplied.","סופק ערך רע."
"The Flat Catalog module has a limit of %2$d filterable and/or sortable attributes.Currently there are %1$d of them.Please reduce the number of filterable/sortable attributes in order to use this module","המודול קטלוג השטוח בעל מגבלה של %2\$ d תכונות משתפות ו/או ניתנת למיון. "" ""כיום יש %1\$ d מהם."" ""בבקשה להפחית את מספר התכונות משתפות/ניתנת למיון כדי להשתמש במודול"
"Unsupported product type ""%1"".","סוג המוצר ""%1"" לא נתמך."
"Please correct the category.","נא תקן את הקטגוריה."
"Must be category model instance or its id.","חייבת להיות מופע של המודל קטגוריה או מזהה שלו."
"The attribute model is not defined.","מודל התכונה לא מוגדר."
Category,קטגוריה
"%1 doesn't extend \Magento\Catalog\Model\Layer\Filter\Dynamic\AlgorithmInterface","%1. לא מורחב \Magento\Catalog\Model\Layer\Filter\Dynamic\AlgorithmInterface"
"%1 doesn't extends \Magento\Catalog\Model\Layer\Filter\AbstractFilter","%1 לא מורחב \Magento\Catalog\Model\Layer\Filter\AbstractFilter"
"The filter must be an object. Please set the correct filter.","המסנן חייב להיות אובייקט. נא הגדר את המסנן הנכון."
"Clear Price","נקה מחיר"
"%1 and above","%1 ומעלה"
"Group price must be a number greater than 0.","קבוצת המחיר חייבת להיות מספר גדול מ-0."
"Media Gallery converter should be an instance of EntryConverterInterface.","ממיר גלריית מדיה צריך להיות מופע של EntryConverterInterface."
"There is no MediaGalleryEntryConverter for given type","אין MediaGalleryEntryConverter עבור הסוג הנתון"
"Please enter a number 0 or greater in this field.","אנא הזן את המספר 0 או גדול יותר בשדה זה."
"SKU length should be %1 characters maximum.","אורך המק""ט צריך להיות עד %1 תווים."
"Please enter a valid number in this field.","נא הזן מספר חוקי בשדה זה."
"We found a duplicate website, tier price, customer group and quantity.","מצאנו אתר כפול, מחיר כמותי, קבוצת לקוחות וכמות."
"Percentage value must be a number between 0 and 100.","ערך באחוזים חייב להיות מספר בין 0 ל- 100."
"Invalid option id %1","מזהה אפשרות %1 לא חוקי"
"Provided Attribute set non product Attribute set.","קבוצת תכונות שסופקה ללא קבוצת תכונות מוצר."
"Use config","השתמש בהגדרה"
"Attribute Set already exists.","קבוצת התכונות כבר קיימת."
"We couldn't copy file %1. Please delete media with non-existing images and try again.","אנחנו לא הצלחנו להעתיק קובץ %1. נא למחוק מדיה עם תמונות שאינם קיימות ונסה שוב."
"The option type to get group instance is incorrect.","סוג האפשרות לקבלת מופיע הקבוצה לא נכון."
"Select type options required values rows.","בחירת סוג אפשרויות דורש ערכי שורות."
"Please specify date required option(s).","נא לספק אפשרויות תאריכים דרושות."
"Please specify time required option(s).","נא לסמן אפשרויות זמן דרושות."
"The option instance type in options group is incorrect.","סוג מופע האפשרות בקבוצת האפשרויות לא נכון."
"The product instance type in options group is incorrect.","סוג מופע המוצר בקבוצת האפשרויות לא נכון."
"The configuration item option instance in options group is incorrect.","המופע של אפשרות פריט הגדרת תצורה בקבוצת האפשרויות לא נכון."
"The configuration item instance in options group is incorrect.","המופע של פריט הגדרת תצורה בקבוצת האפשרויות לא נכון."
"The BuyRequest instance in options group is incorrect.","המופע של BuyRequest בקבוצת האפשרויות לא נכון."
"We can't add the product to the cart because of an option validation issue.","אין לנו אפשרות להוסיף את המוצר העגלה בגלל בעיה באימות אפשרות."
"%1 doesn't extends \Magento\Catalog\Model\Product\Option\Type\DefaultType","%1 לא מורחב \Magento\Catalog\Model\Product\Option\Type\DefaultType"
px.,פיקסלים.
"The file '%1' for '%2' has an invalid extension.","לקובץ '%1' עבור '%2' יש סיומת לא חוקית."
"The maximum allowed image size for '%1' is %2x%3 px.","הגודל המרבי המותר לתמונה עבור '%1' הוא %2x%3 פיקסלים."
"The file '%1' you uploaded is larger than the %2 megabytes allowed by our server.","הקובץ '%1' שהעלאת גדול יותר מ-%2 מגה שמורשים על ידי השרת."
"The file '%1' is invalid. Please choose another one","הקובץ '%1' לא חוקי. אנא בחר קובץ אחר"
"File '%1' is not an image.","קובץ '%1' הוא לא תמונה."
"Some of the selected item options are not currently available.","חלק מאפשריות הפריט שבחרת לא זמינים כרגע."
"Invalid attribute %fieldName = %fieldValue.","תכונה לא חוקית %fieldName = %fieldValue."
"Requested store is not found. Row ID: SKU = %SKU, Store ID: %storeId.","החנות המבוקשת לא נמצאה. מזהה שורה: SKU = %SKU, חנות מזהה: %storeId."
"Invalid attribute Cost = %cost. Row ID: SKU = %SKU, Store ID: %storeId.","תכונה לא חוקית עבור מחיר = %cost. מזהה שורה: SKU = %SKU, חנות מזהה: %storeId."
"Could not save Prices.","לא היתה אפשרות לשמור את המחירים."
"Could not delete Prices","לא היתה אפשרות למחוק את המחירים"
"Could not save Tier Prices","לא ניתן לשמור את קבוצת המחירים"
"Could not replace Tier Prices","לא ניתן להחליף את קבוצת המחירים"
"Product hasn't group price with such data: customerGroupId = '%1', website = %2, qty = %3","למוצר זה אין קבוצת מחיר עם נתונים כאלה: מזהה לקוח קבוצתי= '%1', אתר = %2, כמות = %3"
"%1 doesn't extends \Magento\Catalog\Model\Product\Type\AbstractType","%1 לא מורחב \Magento\Catalog\Model\Product\Type\AbstractType"
"%1 doesn't extends \Magento\Catalog\Model\Product\Type\Price","%1 לא מורחב \Magento\Catalog\Model\Product\Type\Price"
"Not Visible Individually","אינו גלוי בנפרד"
"Catalog, Search","קטלוג, חיפוש"
"Something went wrong while removing products from the websites.","משהו השתבש בעת הסרת המוצרים מהאתרים."
"Something went wrong while adding products to websites.","משהו השתבש בעת הוספת המוצרים לאתרים."
"Product with SKU '%1' is not linked to product with SKU '%2'","מוצר עם המק""ט '%1' לא מקושר למוצר עם המק""ט '%2'"
"Product %1 doesn't have linked %2 as %3","המוצר %1 אין מקושר %2 כמו %3"
"Invalid product data: %1","נתון מוצר לא חוקי: %1"
"Database connection error","שגיאת חיבור לבסיס הנתונים"
"There are not websites for assign to product","לא קיימים אתרים להקצאה עבור המוצר"
